recipe,category,from_vocab,to_vocab,delta_chars_per_token,delta_cpt_per_million_tied_parameters,delta_tied_parameters_at_hidden_768
N,aa,8000,16000,0.3182824102512758,0.051803777710168586,6144000
N,web_novel,16000,24000,0.15740489962733717,0.02561928704872024,6144000
N,aozora_shin_shin,16000,24000,0.16735557680396584,0.027238863412103815,6144000
N,aozora_shin_kyu,16000,24000,0.16003921743588267,0.02604804971287153,6144000
N,aozora_kyu_kyu,16000,24000,0.1488999420699264,0.02423501661294375,6144000
N,aa,16000,24000,0.19355583724101377,0.031503228717612915,6144000
N,web_novel,24000,32000,0.07493804305519669,0.012196947111848419,6144000
N,aozora_shin_shin,24000,32000,0.09097949661889881,0.014807860777815561,6144000
N,aozora_shin_kyu,24000,32000,0.07517496885880948,0.012235509254363522,6144000
N,aozora_kyu_kyu,24000,32000,0.06825992859705932,0.011110014420094289,6144000
N,aa,24000,32000,0.11003965911301261,0.017910100767091895,6144000
N,web_novel,32000,48000,0.13852549713364093,0.011273233816214269,12288000
N,aozora_shin_shin,32000,48000,0.15108487470709608,0.012295318579679044,12288000
N,aozora_shin_kyu,32000,48000,0.13706934748118194,0.011154732054132645,12288000
N,aozora_kyu_kyu,32000,48000,0.12388274325482596,0.010081603454982581,12288000
N,aa,32000,48000,0.16541531391971498,0.013461532708310138,12288000
N,web_novel,48000,64000,0.08300421535437597,0.006754900338083981,12288000
N,aozora_shin_shin,48000,64000,0.11229928458857064,0.009138939175502167,12288000
N,aozora_shin_kyu,48000,64000,0.09194917420575832,0.007482842952942571,12288000
N,aozora_kyu_kyu,48000,64000,0.08064622900801366,0.006563006917969861,12288000
N,aa,48000,64000,0.1155298551815589,0.009401843683395092,12288000
J,web_novel,8000,16000,0.4310161537205568,0.07015236876962187,6144000
J,aozora_shin_shin,8000,16000,0.5031932608333343,0.08189994479709216,6144000
J,aozora_shin_kyu,8000,16000,0.3910750508344738,0.0636515382217568,6144000
J,aozora_kyu_kyu,8000,16000,0.383099866324242,0.062353493867877925,6144000
J,aa,8000,16000,0.5899777507605164,0.09602502453784446,6144000
J,web_novel,16000,24000,0.20034619269230425,0.03260842980017973,6144000
J,aozora_shin_shin,16000,24000,0.21916534364786022,0.03567144265101892,6144000
J,aozora_shin_kyu,16000,24000,0.2092017476196555,0.03404976360996997,6144000
J,aozora_kyu_kyu,16000,24000,0.1963872359653609,0.03196406835373712,6144000
J,aa,16000,24000,0.2530348593728018,0.041184059142708625,6144000
J,web_novel,24000,32000,0.08579446386533895,0.013963942686415844,6144000
J,aozora_shin_shin,24000,32000,0.09946997914709677,0.016189775251806114,6144000
J,aozora_shin_kyu,24000,32000,0.0929317959270266,0.015125617826664486,6144000
J,aozora_kyu_kyu,24000,32000,0.09757100470662605,0.01588069738063575,6144000
J,aa,24000,32000,0.07939521308302622,0.012922397962732132,6144000
J,web_novel,32000,48000,0.15879281508818988,0.01292259237371337,12288000
J,aozora_shin_shin,32000,48000,0.16178376190283794,0.013165996248603347,12288000
J,aozora_shin_kyu,32000,48000,0.14597313584869864,0.011879324206437064,12288000
J,aozora_kyu_kyu,32000,48000,0.14006370456879136,0.011398413457746693,12288000
J,aa,32000,48000,0.19826923519153006,0.01613519166597738,12288000
J,web_novel,48000,64000,0.08083151489818885,0.006578085522313546,12288000
J,aozora_shin_shin,48000,64000,0.11021241944596127,0.008969109655433046,12288000
J,aozora_shin_kyu,48000,64000,0.09288548057542334,0.007559039760369738,12288000
J,aozora_kyu_kyu,48000,64000,0.09054440169495459,0.007368522273352424,12288000
J,aa,48000,64000,0.11330972047193999,0.00922116865819824,12288000
