eval_item_id,source_work_identity,category,source_url,source_record_id,upstream_split,text_sha256,source_chars,source_bytes
sha256:eb049beea6ad7a6e385cb0fc18463cfab366200f7a7237e2e1118919d38f8569,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:7,train,a1925a4ad11ae73a251aa937eceb53238beb2da8d49c8a6fba252909ef07d37e,5,15
sha256:efc7eaea309ef6df57a6bafaa3cee808ba3e846095b3bce66b956ef7da95856e,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:7,train,fcdee5a1c9e928df52b9aea091cf6bfef73ff48c6903d5a3d59510c454d8ac4a,10,30
sha256:72322c8428c43749b81da6f6e57f1d0fbbd5e50bb342611349e0ec647ae5a4c9,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:8,train,e75d08d711d050936cb485ddad378c06fa72d4c9146d3a39709d3477702b0043,5,15
sha256:576ac3f247230e2fa4f2c513d582b3bb5da6b0b8df4416cacd90092fa5d6bba4,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:8,train,a97de73b237440e3ec5d2de372d7c942c98171a14dad190d08b1870bd0490273,7,21
sha256:75688064b466ede6cd946316d1ab1ef3488016501fa1a1d432dbb152b77f9e18,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:9,train,3a52f764243a11f6ee0c39bfed2ac879bcaa17920e49792090a8473c11df2285,5,15
sha256:40680960d5824fd72e6b760688fca27734f24c2b13a3536c2a5e3a096f342b87,sha256:8d1569a11318284af47fff60342c252edcefd144cdd148c9e68e36a421087bc1,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:9,train,d9f220f568a9bddb5a78547b9e38f20ea138ea3f690957f3687774be444c048e,8,24
sha256:7d9d8a60756f510745d50fe67ff007b589ff1fe01f6b3ca8141d9353b61cd186,sha256:3ea142732fad6ace04e414b474638e26b2a71cbbd1abba9679f4da1e2a9c4ca0,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:10,train,8731ce9c0e2b5857c3bfa9d724419bd4dd6a6f4e021f52c3dfff08d44a733365,5,15
sha256:24dd4859ef0e26690baed2abf4bc2145da65bf4fc68cc4ff88c1aabb6292b0c1,sha256:3ea142732fad6ace04e414b474638e26b2a71cbbd1abba9679f4da1e2a9c4ca0,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:10,train,a25e16a9997428e28bd257a0c81fb2769f64ca0c70ebc412d2297d81d03f5079,10,30
sha256:7e28d2dd221cf02536e50e6423e043ed795d3eae8bbcffc0386f078c19b56377,sha256:3ea142732fad6ace04e414b474638e26b2a71cbbd1abba9679f4da1e2a9c4ca0,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:11,train,5603c22491320a7b05af0f7caa87622bab174df6cd134ca47554d569d47d5c05,5,15
sha256:c39758b335875923c6235559b98e65e06b2b55cc9646f217ea9c2a50b24f8314,sha256:3ea142732fad6ace04e414b474638e26b2a71cbbd1abba9679f4da1e2a9c4ca0,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:11,train,340db7104813920a794e586abf1d52f621a7ae1fc1c82194b4d5b66105760a99,9,27
sha256:e7f4f903b790113ef0c0bd92b5e31d53de4742646e05ed087def6c8da118a2ce,sha256:3ea142732fad6ace04e414b474638e26b2a71cbbd1abba9679f4da1e2a9c4ca0,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:12,train,c91b280d25c3133bd77e47e436a13a3192fecc77aafea79f8b5f57d027f1d74a,5,15
sha256:89c22c09b52c92f70df8d1b699d633be710d5b0ea376e7282d20e0a5d03b7309,sha256:3ea142732fad6ace04e414b474638e26b2a71cbbd1abba9679f4da1e2a9c4ca0,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:12,train,db7b0c59aa25633a7342a97ee70fe60b0cd7e2c9bec7efdeef5e8f7c0886ca79,6,18
sha256:4f28e893dc3c7ddb5d6f6671b5713aa87ddc3c892363e8b0b0a83565c183efe9,sha256:3ea142732fad6ace04e414b474638e26b2a71cbbd1abba9679f4da1e2a9c4ca0,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:13,train,5bbc8ec29f3d9b1f57e7f40c16581f2a5a4f284f1e5bf05a5e2b484f61a5edef,5,15
sha256:3bd84fd3959b0b610b2e4c4dc607ec6e53f1bbfe0d9f5c4070b1c08e0c5e4757,sha256:3ea142732fad6ace04e414b474638e26b2a71cbbd1abba9679f4da1e2a9c4ca0,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:13,train,f621cff57ee1f15508e4be109390b66719a27faed4e5cddbc1f14ad0ff6cce42,8,24
sha256:03e14d7a8e73f9a5cf647baa07e5ced7dab038fb5810623fd70d6c26b48dfa40,sha256:3ea142732fad6ace04e414b474638e26b2a71cbbd1abba9679f4da1e2a9c4ca0,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:14,train,c77db2a5bdcc63cc2d44f2749e2a9ac4f003f76fc7cdf0fb98252b6f09cc43b3,5,15
sha256:833db093082135266ab52dd6a940b57fec18c3a462411a8426e9ebd076475828,sha256:3ea142732fad6ace04e414b474638e26b2a71cbbd1abba9679f4da1e2a9c4ca0,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:14,train,45851f89687d0fbd783cc73727019c9b2c61061a29ea60a48b85deeebc04f8df,12,36
sha256:e9b6c2484540e6e20132059ad45e2b8a7e04f278c284094537e8df46697402bd,sha256:3ea142732fad6ace04e414b474638e26b2a71cbbd1abba9679f4da1e2a9c4ca0,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:15,train,16620a1cfccfe7d0afff7165205ced56138d2609d9b923dc3817406e56c0fefb,5,15
sha256:4d3cfa04c82db1cf06b1d38a67c55bb5eea6a09b46e3f4f8cd99495e5fa8904f,sha256:3ea142732fad6ace04e414b474638e26b2a71cbbd1abba9679f4da1e2a9c4ca0,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:15,train,bbd7188f2e6c889b030aeb1dc95125a02687a92a31a5b0de30acf595d36d3939,11,33
sha256:3d8a42b6a9190ff70775059ba560c7a8d47db880c5c4bb29deeef70c6eb91de6,sha256:302b45f003b5597c93b3fe9a7d8ae3a5c1130611fa05d6c1a18344e093a51079,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:16,train,aadfbe902b778c5dc3873a0de6c2ade3a9fa8a428479a9a7bc2e2661c9fdc487,5,15
sha256:9bf795560b2484f9085c887fbcad496dff68d20529008782546d6a41c1cd4911,sha256:302b45f003b5597c93b3fe9a7d8ae3a5c1130611fa05d6c1a18344e093a51079,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:16,train,cb260f38d8214ae13cd353cc2e3df9f941c8ca07c7170f409886b615bfa63f11,6,18
sha256:a47591654b21fdd590b5f25188b62e5fcf31d6a9688af4d86b82b7e1ceef72dc,sha256:302b45f003b5597c93b3fe9a7d8ae3a5c1130611fa05d6c1a18344e093a51079,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:17,train,147a063062dbe55f1f245e7640a4d25cd62694612e646c509bf3be582bbf8806,5,15
sha256:ac7c793ab40ee8096470cc5b3ee488a8e72c0f742ff073eb9d626b36a8e7ee99,sha256:302b45f003b5597c93b3fe9a7d8ae3a5c1130611fa05d6c1a18344e093a51079,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:17,train,5d3dc6d96690f724b3746cc96d7fafb11cee485f8986a792eb832d881946cf2b,8,24
sha256:c878f22e36bb420acdb2c92e040ad423e763464526c4026399ebcbda6072eff8,sha256:302b45f003b5597c93b3fe9a7d8ae3a5c1130611fa05d6c1a18344e093a51079,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:18,train,c56287ad7d7166a4fd544c68572c6785ea22617e7c4c7892b64e639d49cff5b3,5,15
sha256:0eecc8fd11a3af7e1995eba3a0b640b904ef7d7b7e9364366018865e54c10d30,sha256:302b45f003b5597c93b3fe9a7d8ae3a5c1130611fa05d6c1a18344e093a51079,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:18,train,59f3e2ebb076bfcb3a3e3e610bf650d35ee86a587722ca959957c0a286dca07a,8,24
sha256:b329ad9da5fa9ebcfdb38e49ee7d0f60828b91c12ae8e829d137fba25c948e71,sha256:302b45f003b5597c93b3fe9a7d8ae3a5c1130611fa05d6c1a18344e093a51079,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:19,train,a50df997742519c1600dcc89145cb774eac485b347226bdad0d47db7830b02fb,5,15
sha256:498c632fbaf0ba05642f8e5bf2effc3353411df996ab37c01bee55a668b44ed1,sha256:302b45f003b5597c93b3fe9a7d8ae3a5c1130611fa05d6c1a18344e093a51079,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:19,train,1bb756d824a866789401b759e7f82d1020c0ea4dbcb60df6825f78587954151e,9,27
sha256:d1a89866ce3dd33cf41551c6d6bcfd1a3eb335a47d5b615d9d458f8fa9d022a2,sha256:302b45f003b5597c93b3fe9a7d8ae3a5c1130611fa05d6c1a18344e093a51079,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:20,train,dd733bcb7ff383ce9103bd7fed659c7df9ffee30a9e445664339d1685153705d,5,15
sha256:46f0882ee024bec52afe38a542f80a9e928e0f99838bfc3095a0d3ea1291c288,sha256:302b45f003b5597c93b3fe9a7d8ae3a5c1130611fa05d6c1a18344e093a51079,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:20,train,ccf9aa75ab5e0ddae1d58a8712d9dca99d4283c55166a72b0f0948f5b6d2e11c,11,33
sha256:13affcd80efcb17777936ac629f7b713ccb02e22909148f331cff136fdafadfd,sha256:302b45f003b5597c93b3fe9a7d8ae3a5c1130611fa05d6c1a18344e093a51079,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:21,train,53138ab86e9d07250314d75d7fb13e3422ade685fffa372e6a9ec83794e18f48,5,15
sha256:804f51a19c3f82b4ccb1e58dfa82dd0f06b773485fbda3dc8e7859d2d0d4941b,sha256:302b45f003b5597c93b3fe9a7d8ae3a5c1130611fa05d6c1a18344e093a51079,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:21,train,e44021dc4af49c2bc9f64fba2e33ab1b7e4585334cf5a8d6d0f8af3e80e385c9,8,24
sha256:9b1e0cb9a0bf52498e785db8233c56b2ec36f349efe011978a978dae087d3c1b,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:22,train,8fd2466766e3fd9c2ab3a7a39bdde00e7cf874a80e2fcfffeac538af83c467a2,5,15
sha256:b1fd86609c57dd642b3f2170debc13490bcab92d62c74d65735fa77ee6d44ea6,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:22,train,454c9e892f96fc59a9c8666adb8106e57c21efb9fd59af570194dd97c9c06dfc,12,36
sha256:e1868a6b4f09e547487dedc56181b3dd2cff3126970f3a1f58f16d852476d11f,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:23,train,540f701e92026e621974ca63998121dfbccada2f2235970e9d35e3abeb00aa7a,5,15
sha256:819df1037f54aa4b12616be521f93bedd9ff592560d9842ab3c8cba4cafba3a2,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:23,train,40a1e67ec304da9017ad631642eaa2e356a615d8a039c9395ae4a18471b3c564,10,30
sha256:431fc10c89ac847ca8ef156fc661b5e17e871ff77b1e0959baa10c4c8e577dd4,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:24,train,c745f9dc7e28e1b6678386d4f99af674689389e6b085fcd8f02b6820d92b67d7,5,15
sha256:29941ae9732c5e8268de39b2b87373ebeb5f5b15606df465388aed26073b058b,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:24,train,2f5fd9a48b038db98b2d5404ba6e7b4ffe6b4f557ed7070ce53998ffcdb1c51b,8,24
sha256:0a8cddd06af5b65ecd9e587b331bc80f1a79c05a097f39a54efe8cdc0a067e6e,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:25,train,a29399c5e60baac10370954d3276bef628e2fd4718bb4627629944460f069f50,5,15
sha256:5f8cf323093521c6256c477fed2318dd20b3ee939952d883712d1b197803a732,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:25,train,1b06c5c3f69b6d99ca183392fe2bd1e64bc8380309e4cf2bd95add489b1f7379,7,21
sha256:965733830b7bc848dec98f10facc61961c9e607200e4402c2e4d8d48c077f907,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:26,train,a66128615f404c3ec15551979c956b81343d8bbd812f073f6b68eeb2a8769d9a,5,15
sha256:6a789b28ff22143feb07cc26542edc51dd358cae0ba362e258786d2d96e89778,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:26,train,ee67cc807ff381a6571f865625aa13b44550eba9faa35bb9eef3d9dde9a6feb6,13,39
sha256:d117acc3d3c1e094df497907f58eeb0d00ac6922b0c49e6ea32f4d47f3ce5c1c,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:27,train,a438029406481db4e2c1e4958753d599ccf6bc5898a77fff35c381ac99e4b469,5,15
sha256:45bbefe2b8b0d42a1630b3488fd3dcda117104083ce783fe78e1a7f52f08ec4c,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:27,train,bd46402d2eca0925a34e3b217be3b26fec1b0396fb0c9d554a2f6f8c475c7888,6,18
sha256:20921589a3e981625f17ff946a37cc693e19b8a63eff27745f800f2bb603c84a,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:28,train,30f25058b1f6dece9cdf2cfc3767eec4831036a3d522eeb2a887cc4c66233ce0,5,15
sha256:3b2660bd2096597deffa1a2f3db42dd54d1fd267ee196dec2d24a1cad28b4e0b,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:28,train,9e0cd446006174f1760a7e5f0d8a72bee9503187abb65f09eca1571a8d0752b1,9,27
sha256:3a40a72054eb76c6d42cea72380f5f310c4a369f0ea2e44457501804b79ab2c4,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:29,train,0b3d5881ce5e7635506d617b02c583a04fe8186d576fadd60ffb3285b8a81eb1,5,15
sha256:6d58f12fdfe7449c337b24cce31c1e6c6639b181e5922c0fc41b479f18aed337,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:29,train,a45d3c0e7d9b3f5e9b865efe245fd56adca4d99838ce77dc5a3b1c8240e61580,12,36
sha256:bd7b08a0798023893e36363d4aec1b7342736e89742e09daca3cf07e0b666b84,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:30,train,8e9abfe34b05592214c8968796bfdd0f4ac0891cee55fde3c94132315a6cee94,5,15
sha256:1ae8d4680d6dbce25fef35c6a02c430fe5bdfe3bb8220e0de7d27ea2a3faba38,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:30,train,04e701fdb0f714e1187db2103a2123691a8ecb33bd7aa7f359fbf1892f8f8826,8,24
sha256:6ff0e27bdecc10362594a6081de0ab436b51d3010ba0038c3264725be054aa8e,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:31,train,6acdfd0a98a69dde994b401c4fa6b47c29866e4663e61c3013cd098ce17ea4a5,5,15
sha256:ccbd4e570b0d09247606793848d2c121fd473d02bd90455ce0ce9ae271c2ee97,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:31,train,473f8a6c755cbbaafbe036da403b323802db33e9e835a7cdc4c8eff3206f3ec0,10,30
sha256:82df0155373adad609d759f64d90c1baba36f867a09b941f30ecbad56f27288c,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:32,train,dfcbf14c3053c616d14a186d1b238b30324d24bc93f12949ee64e1fbb68e34f4,5,15
sha256:b7e0332bd9862fe3bc732cb2cae81b506f697f78f38af1652626ca4db1d3dcde,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:32,train,fd105919f74780dd809bb5c08710e8184a3b27f5f3d91faa750449a0fba8310f,8,24
sha256:b2df651af8f8b38ff7c65d0f93128dcf7fdec5ca1391a56d449a85b0ac822afa,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:33,train,d7365913f2b63f40f6eded6542b76ce9af3b2c35d6540ca74c28b813186da499,5,15
sha256:0188e502f560383450fb772cfc765c89e5cca8e36e18f546ae7dfa0506d18df3,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:33,train,07e2e9e8b553bbc1afa7d862420ffb21c73bd8a9248bed725b7d50b50e16ef8e,7,21
sha256:1b22d15de428cf83858505370d21600801e4e57177c8d6b33dc337e0940f414f,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:34,train,b0a9f7c53c68c2a18328467a1aa938647234976b482c2ff545c2f333e538e672,5,15
sha256:955ae679d9026130fc7da70786d261a76216da1cf0e3bdbcee30bbae601c9649,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:34,train,93fd93d23c72f77f72daaadcc22ad9dd190fa194e0e14539714501279cf062c3,9,27
sha256:16df336c59eaea6641a4b426ec79d5a5af217ce3d58cb0611115b72e9b7e19ee,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:35,train,fdc22c86a36730d228056bf366da6b241fe18a7f8c4b359e84b7ccb6b5f156a6,5,15
sha256:e8455543bb443793198197346acac98852a73e7977bbc8c0f23fe393b60aafdf,sha256:717465d4b85514af22effdea6dbace424ea78c1348817fb62512fcf56cd18b9b,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:35,train,66706e76493ec4a8290f56b6539f49c4cd179fcd924418f4ded38d9cafc6e7ce,11,33
sha256:f0930a1deaa2dbe53ee30d01654e664ef8ee676966509c10dc7010f5fa1d88d1,sha256:fbe5ba23af164c70eb9c29d9db41474c90308d226f06ef9b625c2d993999c9c5,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:36,train,d18b8c7f656547fcea5d92c529a019e14383a5b0eed823429ac22ddd7459f3db,5,15
sha256:6d4760720d784504fcac5321eba7ee89dc52364973a289ef93a425eb14514f68,sha256:fbe5ba23af164c70eb9c29d9db41474c90308d226f06ef9b625c2d993999c9c5,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:36,train,b3fdf406220e6885d2759f3fa29c5e19e82199570dde319ef56228f6cf5ee7a4,9,27
sha256:4765e85a9772dfa0bf159e082e24bc5cc92383316eab512ae6d24617a9eeca74,sha256:fbe5ba23af164c70eb9c29d9db41474c90308d226f06ef9b625c2d993999c9c5,kanbun,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:37,train,d822799ca58ad02f73632edf72ce877e0574743d2fa73746dc2bdad801de5f37,5,15
sha256:078095d5627f7ae86514c58194b2430a1211bc7b52b6c0e33ac6ee49ed7f5f18,sha256:fbe5ba23af164c70eb9c29d9db41474c90308d226f06ef9b625c2d993999c9c5,kakikudashi,https://github.com/nlp-waseda/Kanbun-LM,kanbun_lm:train:37,train,53f1e3adba4556c24bb939a76796316cd12b43f3233bcd0ea5987a3f913cbc2c,9,27
